,Prices,Airlines,Links
0,"$3,842",DFW-KTM: Malaysia Airlines | KTM-DFW: Malaysia Airlines,https://www.kayak.com/book/flight?code=dfAiHM3rT9.pzQS6CUVVs3BDARZyLA7ng.384145.556e3b9777ca43b9467aaa34bbb5eabe&h=e712feef0b22&sub=E-1d6267b3e5e&pageOrigin=F..RP.FE.M1
1,"$4,158",DFW-KTM: Malaysia Airlines | KTM-DFW: Malaysia Airlines,https://www.kayak.com/book/flight?code=dfAiHM3rT9.pzQS6CUVVs3BDARZyLA7ng.415745.7bb9853672e47132e730ea3b6649f0ae&h=edf5091d48d5&sub=E-1d6267b3e5e&pageOrigin=F..RP.FE.M2
2,"$4,158",DFW-KTM: Malaysia Airlines | KTM-DFW: Malaysia Airlines,https://www.kayak.com/book/flight?code=dfAiHM3rT9.pzQS6CUVVs3BDARZyLA7ng.415745.b975c0e25c16e11a5a42a4a1b099e669&h=38225a55bfe8&sub=E-1d6267b3e5e&pageOrigin=F..RP.FE.M4
